ID,Conc,Sigma,Pspal,Pmuon,xLocStart,xLocEnd,yLocStart,yLocEnd,Lat,Lon,Alt,atm,water,nuclide
ER1-Surface,33613,633,4.81,0.08,0,-5,0,2,69.2316,-49.8093,107,0,-1,10
ER1-12-15,26088,488,4.81,0.08,0,-3,12,15,69.2316,-49.8093,107,0,-1,10
ER1-30-33,19130,358,4.81,0.08,0,-3,30,33,69.2316,-49.8093,107,0,-1,10
ER1-65-69,10728,237,4.81,0.08,0,-3,65,69,69.2316,-49.8093,107,0,-1,10
ER1-Base,6211,209,4.81,0.08,24,7,120,123,69.2316,-49.8093,107,0,-1,10
ER1-FL1,11911,323,4.81,0.08,128,118,120,123,69.2316,-49.8093,107,0,-1,10
ER1-FL2,21866,499,4.81,0.08,217,209,120,123,69.2316,-49.8093,107,0,-1,10
ER1-FL3,31941,566,4.81,0.08,521,505,120,123,69.2316,-49.8093,107,0,-1,10
ER2-A,9145,314,4.81,0.08,0,0,0,0,69.2317,-49.8102,107,0,-1,10
ER2-B,25092,478,4.81,0.08,0,0,0,0,69.2317,-49.8102,107,0,-1,10
